2023-03-09 11:51:18,750 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:51:19,655 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:51:20,435 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:51:21,240 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
2023-03-09 11:51:22,653 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 2248- Jp id: 3, Current: 6736695.0000000, Payout: 6714549, pool rec: False
2023-03-09 11:51:23,711 [17] ERROR PortalJpUtils.GroupJackpotData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 2, Current: 897500.0000000, Payout: 695505, pool rec: False
2023-03-09 11:51:27,457 [12] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:51:28,144 [12] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:51:28,850 [12] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:51:29,728 [12] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
2023-03-09 11:51:31,321 [12] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 2248- Jp id: 3, Current: 6736695.0000000, Payout: 6714549, pool rec: False
2023-03-09 11:51:32,345 [12] ERROR PortalJpUtils.GroupJackpotData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 2, Current: 897500.0000000, Payout: 695505, pool rec: False
2023-03-09 11:51:36,060 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 1, Current: 100704.0000000, Payout: 100314, pool rec: False
2023-03-09 11:51:36,751 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 1- Jp id: 3, Current: 10202088.0000000, Payout: 7490789, pool rec: False
2023-03-09 11:51:37,477 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 14- Jp id: 3, Current: 155000.0000000, Payout: 103602, pool rec: False
2023-03-09 11:51:38,274 [17] ERROR PortalJpUtils.PortalData - DatabaseAccess: In Zone log: Portal id: 50- Jp id: 3, Current: 5016821.9500000, Payout: 5008755, pool rec: False
